code,sub-code,quantity,allow-overdraft,stock-close
nylonsling1t1m5set,,0,0,0
nylonsling1t1m10set,,0,0,0
nylonsling1t2m5set,,111,0,0
nylonsling1t2m10set,,55,0,0
nylonsling1t3m5set,,71,0,0
nylonsling1t3m10set,,35,0,0
nylonsling1t5m5set,,80,0,0
nylonsling1t5m10set,,40,0,0
nylonsling1t6m5set,,7,0,0
nylonsling1t6m10set,,3,0,0
nylonsling1t10m5set,,0,0,0
nylonsling1t10m10set,,0,0,0
nylonsling2t1m5set,,39,0,0
nylonsling2t1m10set,,19,0,0
nylonsling2t2m5set,,35,0,0
nylonsling2t2m10set,,17,0,0
nylonsling2t3m5set,,9,0,0
nylonsling2t3m10set,,4,0,0
nylonsling2t4m5set,,1,0,0
nylonsling2t4m10set,,0,0,0
nylonsling2t5m5set,,13,0,0
nylonsling2t5m10set,,6,0,0
nylonsling2t6m5set,,38,0,0
nylonsling2t6m10set,,19,0,0
nylonsling2t10m4set,,0,0,0
nylonsling2t10m2set,,0,0,0
nylonsling3t3m5set,,31,0,0
nylonsling3t3m10set,,15,0,0
nylonsling3t5m5set,,28,0,0
nylonsling3t5m10set,,14,0,0
nylonsling3t8m4set,,4,0,0
nylonsling3t8m2set,,9,0,0
nylonsling3t10m4set,,3,0,0
nylonsling3t10m2set,,7,0,0
nylonsling3t12m4set,,3,0,0
nylonsling3t12m2set,,6,0,0
nylonsling5t5m4set,,1,0,0
nylonsling5t5m2set,,3,0,0
nylonsling5t10m4set,,9,0,0
nylonsling5t10m2set,,19,0,0
LT-A1240-4set,,2,0,0
LT-A1240-2set,,4,0,0
LT-A1240-10set,,0,0,0
LT-A1238-4set,,3,0,0
LT-A1238-2set,,6,0,0
LT-A1238-10set,,1,0,0
LT-A1237-4set,,0,0,0
LT-A1237-2set,,0,0,0
LT-A1237-10set,,0,0,0
tip-saw-40t-b-50set,,15,0,0
tip-saw-40t-b,,77,0,0
tip-saw-40t-b-100set,,7,0,0
tip-saw-36t-b-50set,,13,0,0
tip-saw-36t-b,,66,0,0
tip-saw-36t-b-100set,,6,0,0
mw-saw-255-40t-5set,,0,0,0
cs-001-10,,2,0,0
mw-saw-230-36t-5set,,15,0,0
cs-002-10,,75,0,0
